#uwb_timestamp  uwb_distance imu_timestamp imu_yaw
1616395171.074 8.140000000000001 1616395171.074614 0.6710790972658333
1616395171.173 8.140000000000001 1616395171.170229 0.7440338599855
1616395171.273 8.18 1616395171.266177 0.7829547022976667
1616395171.373 8.23 1616395171.378443 0.8377580408
1616395171.473 8.26 1616395171.473326 0.9044296182136667
1616395171.575 8.26 1616395171.569157 0.9075712108666667
1616395171.673 8.199999999999999 1616395171.665402 0.7871434925016667
1616395171.774 8.17 1616395171.777476 0.6452482243411667
1616395171.873 8.16 1616395171.872139 0.5379104753636667
1616395171.972 8.19 1616395171.965193 0.4834562027116667
1616395172.073 8.15 1616395172.07669 0.4733332930520001
1616395172.173 8.210000000000001 1616395172.166891 0.4729842272016666
1616395172.273 8.130000000000001 1616395172.270794 0.4309217922365
1616395172.374 8.16 1616395172.379832 0.3530801076121667
1616395172.472 8.140000000000001 1616395172.469843 0.2951351764568333
1616395172.572 8.210000000000001 1616395172.576912 0.2420771672061666
1616395172.672 8.17 1616395172.669731 0.03316125578166667
1616395172.773 8.16 1616395172.773847 -0.09232791741316666
1616395172.873 8.1 1616395172.878901 -0.2169444259821667
1616395172.973 8.18 1616395172.972194 -0.2590068609473333
1616395173.073 8.140000000000001 1616395173.066477 -0.4160864935973334
1616395173.174 8.17 1616395173.170852 -0.4878195258408333
1616395173.274 8.1 1616395173.266453 -0.4176572899238333
1616395173.373 0 1616395173.378166 -0.3157300616265
1616395173.765 8.35 1616395173.761538 -0.09599310884166666
1616395173.873 8.470000000000001 1616395173.873095 -0.0539306738765
1616395173.972 8.52 1616395173.968087 -0.03944444108766666
1616395174.073 8.49 1616395174.080135 0.03385938748233333
1616395174.173 8.44 1616395174.174107 0.0822050077535
1616395174.273 8.58 1616395174.267909 0.1254891731948333
1616395174.372 8.619999999999999 1616395174.378327 0.1638864167315
1616395174.474 8.66 1616395174.47412 0.1795943799965
1616395174.574 8.720000000000001 1616395174.570152 0.2446951610836667
1616395174.865 8.84 1616395174.872149 0.401076662033
1616395174.975 8.91 1616395174.967407 0.4749040893785
1616395175.074 9 1616395175.078128 0.5255186376768334
1616395175.175 9.02 1616395175.172935 0.5747369225738334
1616395175.274 9.050000000000001 1616395175.269229 0.6469935535928334
1616395175.375 9.029999999999999 1616395175.381212 0.7004006286938333
1616395175.565 9.01 1616395175.567892 0.7588691586246666
1616395175.676 9.09 1616395175.680032 0.7944738753586666
1616395176.066 9.199999999999999 1616395176.064353 0.9656906749471666
1616395176.176 9.17 1616395176.17618 0.9883799552188333
